Horario;Dia;Data;Clube 1;Clube 2;Vencedor;Rodada;Arena;p1;p2;gols;C1 Estado;C2 Estado;Vencedor Estado
16:00;Sábado;03/06/2017;Coritiba;Atlético-PR;Coritiba;4ª Rodada;Couto Pereira;1;0;1;PR;PR;PR
18:00;Sábado;03/06/2017;Fluminense;Vitória;Fluminense;4ª Rodada;Maracanã;2;1;3;RJ;ES;RJ
19:00;Sábado;03/06/2017;Corinthians;Santos;Corinthians;4ª Rodada;Arena Corinthians;2;0;2;SP;SP;SP
11:00;Domingo;04/06/2017;Flamengo;Botafogo;-;4ª Rodada;Raulino de Oliveira;0;0;0;RJ;RJ;Empate
11:00;Domingo;04/06/2017;Avaí;Sport;Avaí;4ª Rodada;Ressacada;1;0;1;SC;PE;SC
16:00;Domingo;04/06/2017;Grêmio;Vasco;Grêmio;4ª Rodada;Arena do Grêmio;2;0;2;RS;RJ;RS
16:00;Domingo;04/06/2017;Ponte Preta;São Paulo;Ponte Preta;4ª Rodada;Moisés Lucarelli;1;0;1;SP;SP;SP
16:00;Domingo;04/06/2017;Palmeiras;Atlético-MG;-;4ª Rodada;Palestra Ítalia;0;0;0;SP;MG;Empate
19:00;Domingo;04/06/2017;Cruzeiro;Chapecoense;Chapecoense;4ª Rodada;Mineirão;0;2;2;MG;SC;SC
20:00;Segunda-feira;05/06/2017;Bahia;Atlético-GO;Bahia;4ª Rodada;Fonte Nova;3;0;3;BH;GO;BH
20:00;Terça-feira;06/06/2017;Fluminense;Atlético-PR;-;5ª Rodada;Maracanã;1;1;2;RJ;PR;Empate
19:30;Quarta-feira;07/06/2017;Atlético-MG;Avaí;Atlético-MG;5ª Rodada;Independência;1;0;1;MG;SC;MG
19:30;Quarta-feira;07/06/2017;Coritiba;Palmeiras;Coritiba;5ª Rodada;Couto Pereira;1;0;1;PR;SP;PR
21:00;Quarta-feira;07/06/2017;Santos;Botafogo;Santos;5ª Rodada;Pacaembu;1;0;1;SP;RJ;SP
21:45;Quarta-feira;07/06/2017;Sport;Flamengo;Sport;5ª Rodada;Ilha do Retiro;2;0;2;PE;RJ;PE
21:45;Quarta-feira;07/06/2017;Vasco;Corinthians;Corinthians;5ª Rodada;São Januário;2;5;7;RJ;SP;SP
19:30;Quinta-feira;08/06/2017;Atlético-GO;Ponte Preta;Atlético-GO;5ª Rodada;Olímpico;3;0;3;GO;SP;GO
19:30;Quinta-feira;08/06/2017;São Paulo;Vitória;São Paulo;5ª Rodada;Morumbi;2;0;2;SP;ES;SP
20:00;Quinta-feira;08/06/2017;Chapecoense;Grêmio;Grêmio;5ª Rodada;Arena Condá;3;6;9;SC;RS;RS
21:00;Quinta-feira;08/06/2017;Bahia;Cruzeiro;Bahia;5ª Rodada;Fonte Nova;1;0;1;BH;MG;BH
16:00;Sábado;10/06/2017;Palmeiras;Fluminense;Palmeiras;6ª Rodada;Palestra Ítalia;3;1;4;SP;RJ;SP
19:00;Sábado;10/06/2017;Vasco;Sport;Vasco;6ª Rodada;São Januário;2;1;3;RJ;PE;RJ
11:00;Domingo;11/06/2017;Botafogo;Coritiba;-;6ª Rodada;Engenhão;2;2;4;RJ;PR;Empate
16:00;Domingo;11/06/2017;Vitória;Atlético-MG;Vitória;6ª Rodada;Barradão;2;0;2;ES;MG;ES
16:00;Domingo;11/06/2017;Corinthians;São Paulo;Corinthians;6ª Rodada;Arena Corinthians;3;2;5;SP;SP;SP
16:00;Domingo;11/06/2017;Avaí;Flamengo;-;6ª Rodada;Ressacada;1;1;2;SC;RJ;Empate
16:00;Domingo;11/06/2017;Ponte Preta;Chapecoense;Ponte Preta;6ª Rodada;Moisés Lucarelli;3;2;5;SP;SC;SP
18:30;Domingo;11/06/2017;Cruzeiro;Atlético-GO;Cruzeiro;6ª Rodada;Mineirão;2;0;2;MG;GO;MG
19:00;Domingo;11/06/2017;Atlético-PR;Santos;Santos;6ª Rodada;Arena da Baixada;0;2;2;PR;SP;SP
20:00;Segunda-feira;12/06/2017;Grêmio;Bahia;Grêmio;6ª Rodada;Arena do Grêmio;1;0;1;RS;BH;RS
19:30;Quarta-feira;14/06/2017;Atlético-MG;Atlético-PR;Atlético-PR;7ª Rodada;Independência;0;1;1;MG;PR;PR
19:30;Quarta-feira;14/06/2017;Vitória;Botafogo;-;7ª Rodada;Barradão;2;2;4;ES;RJ;Empate
19:30;Quarta-feira;14/06/2017;Atlético-GO;Avaí;Atlético-GO;7ª Rodada;Olímpico;3;1;4;GO;SC;GO
19:30;Quarta-feira;14/06/2017;Sport;São Paulo;-;7ª Rodada;Ilha do Retiro;0;0;0;PE;SP;Empate
21:00;Quarta-feira;14/06/2017;Flamengo;Ponte Preta;Flamengo;7ª Rodada;Luso Brasileiro;2;0;2;RJ;SP;RJ
21:45;Quarta-feira;14/06/2017;Corinthians;Cruzeiro;Corinthians;7ª Rodada;Arena Corinthians;1;0;1;SP;MG;SP
21:45;Quarta-feira;14/06/2017;Chapecoense;Vasco;Chapecoense;7ª Rodada;Arena Condá;2;1;3;SC;RJ;SC
21:45;Quarta-feira;14/06/2017;Santos;Palmeiras;Santos;7ª Rodada;Vila Belmiro;1;0;1;SP;SP;SP
16:00;Quinta-feira;15/06/2017;Coritiba;Bahia;-;7ª Rodada;Couto Pereira;0;0;0;PR;BH;Empate
21:00;Quinta-feira;15/06/2017;Fluminense;Grêmio;Grêmio;7ª Rodada;Maracanã;0;2;2;RJ;RS;RS
16:00;Sábado;17/06/2017;Atlético-GO;Atlético-PR;Atlético-PR;8ª Rodada;Olímpico;0;1;1;GO;PR;PR
19:00;Sábado;17/06/2017;Vasco;Avaí;Vasco;8ª Rodada;São Januário;1;0;1;RJ;SC;RJ
21:00;Sábado;17/06/2017;Santos;Ponte Preta;-;8ª Rodada;Pacaembu;0;0;0;SP;SP;Empate
11:00;Domingo;18/06/2017;Coritiba;Corinthians;-;8ª Rodada;Couto Pereira;0;0;0;PR;SP;Empate
16:00;Domingo;18/06/2017;Chapecoense;Botafogo;Botafogo;8ª Rodada;Arena Condá;0;2;2;SC;RJ;RJ
16:00;Domingo;18/06/2017;Fluminense;Flamengo;-;8ª Rodada;Maracanã;2;2;4;RJ;RJ;Empate
16:00;Domingo;18/06/2017;Bahia;Palmeiras;Palmeiras;8ª Rodada;Fonte Nova;2;4;6;BH;SP;SP
16:00;Domingo;18/06/2017;São Paulo;Atlético-MG;Atlético-MG;8ª Rodada;Morumbi;1;2;3;SP;MG;MG
19:00;Domingo;18/06/2017;Sport;Vitória;Vitória;8ª Rodada;Ilha do Retiro;1;3;4;PE;ES;ES
20:00;Segunda-feira;19/06/2017;Cruzeiro;Grêmio;-;8ª Rodada;Mineirão;3;3;6;MG;RS;Empate
19:30;Quarta-feira;21/06/2017;Vitória;Santos;Santos;9ª Rodada;Barradão;0;2;2;ES;SP;SP
21:00;Quarta-feira;21/06/2017;Palmeiras;Atlético-GO;Palmeiras;9ª Rodada;Palestra Ítalia;1;0;1;SP;GO;SP
21:00;Quarta-feira;21/06/2017;Botafogo;Vasco;Botafogo;9ª Rodada;Engenhão;3;1;4;RJ;RJ;RJ
21:45;Quarta-feira;21/06/2017;Avaí;Fluminense;Fluminense;9ª Rodada;Ressacada;0;3;3;SC;RJ;RJ
21:45;Quarta-feira;21/06/2017;Atlético-PR;São Paulo;Atlético-PR;9ª Rodada;Arena da Baixada;1;0;1;PR;SP;PR
21:45;Quarta-feira;21/06/2017;Atlético-MG;Sport;-;9ª Rodada;Independência;2;2;4;MG;PE;Empate
19:30;Quinta-feira;22/06/2017;Corinthians;Bahia;Corinthians;9ª Rodada;Arena Corinthians;3;0;3;SP;BH;SP
19:30;Quinta-feira;22/06/2017;Ponte Preta;Cruzeiro;Ponte Preta;9ª Rodada;Moisés Lucarelli;1;0;1;SP;MG;SP
21:00;Quinta-feira;22/06/2017;Flamengo;Chapecoense;Flamengo;9ª Rodada;Luso Brasileiro;5;1;6;RJ;SC;RJ
21:00;Quinta-feira;22/06/2017;Grêmio;Coritiba;Grêmio;9ª Rodada;Arena do Grêmio;2;0;2;RS;PR;RS
19:00;Sábado;24/06/2017;Santos;Sport;Sport;10ª Rodada;Vila Belmiro;0;1;1;SP;PE;PE
11:00;Domingo;25/06/2017;Vasco;Atlético-GO;Vasco;10ª Rodada;São Januário;1;0;1;RJ;GO;RJ
16:00;Domingo;25/06/2017;Atlético-PR;Vitória;Atlético-PR;10ª Rodada;Arena da Baixada;4;1;5;PR;ES;PR
16:00;Domingo;25/06/2017;Cruzeiro;Coritiba;Cruzeiro;10ª Rodada;Mineirão;2;0;2;MG;PR;MG
16:00;Domingo;25/06/2017;São Paulo;Fluminense;-;10ª Rodada;Morumbi;1;1;2;SP;RJ;Empate
16:00;Domingo;25/06/2017;Grêmio;Corinthians;Corinthians;10ª Rodada;Arena do Grêmio;0;1;1;RS;SP;SP
16:00;Domingo;25/06/2017;Ponte Preta;Palmeiras;Palmeiras;10ª Rodada;Moisés Lucarelli;1;2;3;SP;SP;SP
18:30;Domingo;25/06/2017;Bahia;Flamengo;Flamengo;10ª Rodada;Fonte Nova;0;1;1;BH;RJ;RJ
19:00;Domingo;25/06/2017;Chapecoense;Atlético-MG;Atlético-MG;10ª Rodada;Arena Condá;0;1;1;SC;MG;MG
20:00;Segunda-feira;26/06/2017;Botafogo;Avaí;Avaí;10ª Rodada;Engenhão;0;2;2;RJ;SC;SC
16:00;Sábado;01/07/2017;Palmeiras;Grêmio;Palmeiras;11ª Rodada;Pacaembu;1;0;1;SP;RS;SP
19:00;Sábado;01/07/2017;Atlético-GO;Santos;-;11ª Rodada;Olímpico;1;1;2;GO;SP;Empate
16:00;Domingo;02/07/2017;Corinthians;Botafogo;Corinthians;11ª Rodada;Arena Corinthians;1;0;1;SP;RJ;SP
16:00;Domingo;02/07/2017;Sport;Atlético-PR;Sport;11ª Rodada;Ilha do Retiro;1;0;1;PE;PR;PE
16:00;Domingo;02/07/2017;Vitória;Bahia;-;11ª Rodada;Barradão;0;0;0;ES;BH;Empate
16:00;Domingo;02/07/2017;Atlético-MG;Cruzeiro;Atlético-MG;11ª Rodada;Independência;3;1;4;MG;MG;MG
16:00;Domingo;02/07/2017;Flamengo;São Paulo;Flamengo;11ª Rodada;Luso Brasileiro;2;0;2;RJ;SP;RJ
19:00;Domingo;02/07/2017;Coritiba;Vasco;-;11ª Rodada;Vila Capanema;2;2;4;PR;RJ;Empate
19:00;Domingo;02/07/2017;Avaí;Ponte Preta;-;11ª Rodada;Ressacada;0;0;0;SC;SP;Empate
20:00;Segunda-feira;03/07/2017;Fluminense;Chapecoense;-;11ª Rodada;Edson Passos;3;3;6;RJ;SC;Empate
16:00;Sábado;08/07/2017;Atlético-GO;Vitória;Vitória;12ª Rodada;Olímpico;1;2;3;GO;ES;ES
18:00;Sábado;08/07/2017;Vasco;Flamengo;Flamengo;12ª Rodada;São Januário;0;1;1;RJ;RJ;RJ
19:00;Sábado;08/07/2017;Corinthians;Ponte Preta;Corinthians;12ª Rodada;Arena Corinthians;2;0;2;SP;SP;SP
11:00;Domingo;09/07/2017;Chapecoense;Atlético-PR;-;12ª Rodada;Arena Condá;1;1;2;SC;PR;Empate
16:00;Domingo;09/07/2017;Bahia;Fluminense;-;12ª Rodada;Fonte Nova;1;1;2;BH;RJ;Empate
16:00;Domingo;09/07/2017;Grêmio;Avaí;Avaí;12ª Rodada;Arena do Grêmio;0;2;2;RS;SC;SC
16:00;Domingo;09/07/2017;Cruzeiro;Palmeiras;Cruzeiro;12ª Rodada;Mineirão;3;1;4;MG;SP;MG
19:00;Domingo;09/07/2017;Santos;São Paulo;Santos;12ª Rodada;Vila Belmiro;3;2;5;SP;SP;SP
19:00;Domingo;09/07/2017;Botafogo;Atlético-MG;-;12ª Rodada;Engenhão;1;1;2;RJ;MG;Empate
20:00;Segunda-feira;10/07/2017;Coritiba;Sport;Sport;12ª Rodada;Couto Pereira;0;3;3;PR;PE;PE
19:30;Quarta-feira;12/07/2017;Atlético-MG;Santos;Santos;13ª Rodada;Independência;0;1;1;MG;SP;SP
19:30;Quarta-feira;12/07/2017;Ponte Preta;Bahia;Bahia;13ª Rodada;Moisés Lucarelli;0;3;3;SP;BH;BH
21:00;Quarta-feira;12/07/2017;Fluminense;Botafogo;Botafogo;13ª Rodada;Maracanã;0;1;1;RJ;RJ;RJ
21:45;Quarta-feira;12/07/2017;Vitória;Vasco;Vasco;13ª Rodada;Barradão;1;4;5;ES;RJ;RJ
21:45;Quarta-feira;12/07/2017;Palmeiras;Corinthians;Corinthians;13ª Rodada;Palestra Ítalia;0;2;2;SP;SP;SP
21:45;Quarta-feira;12/07/2017;Atlético-PR;Cruzeiro;Cruzeiro;13ª Rodada;Arena da Baixada;0;2;2;PR;MG;MG
19:30;Quinta-feira;13/07/2017;São Paulo;Atlético-GO;-;13ª Rodada;Morumbi;2;2;4;SP;GO;Empate
19:30;Quinta-feira;13/07/2017;Sport;Chapecoense;Sport;13ª Rodada;Arena Pernambuco;3;0;3;PE;SC;PE
19:30;Quinta-feira;13/07/2017;Flamengo;Grêmio;Grêmio;13ª Rodada;Luso Brasileiro;0;1;1;RJ;RS;RS
21:00;Quinta-feira;13/07/2017;Avaí;Coritiba;Coritiba;13ª Rodada;Ressacada;1;4;5;SC;PR;PR
19:00;Sábado;15/07/2017;Corinthians;Atlético-PR;-;14ª Rodada;Arena Corinthians;2;2;4;SP;PR;Empate
11:00;Domingo;16/07/2017;Palmeiras;Vitória;Palmeiras;14ª Rodada;Palestra Ítalia;4;2;6;SP;ES;SP
16:00;Domingo;16/07/2017;Vasco;Santos;-;14ª Rodada;Engenhão;0;0;0;RJ;SP;Empate
16:00;Domingo;16/07/2017;Grêmio;Ponte Preta;Grêmio;14ª Rodada;Arena do Grêmio;3;1;4;RS;SP;RS
16:00;Domingo;16/07/2017;Chapecoense;São Paulo;Chapecoense;14ª Rodada;Arena Condá;2;0;2;SC;SP;SC
16:00;Domingo;16/07/2017;Cruzeiro;Flamengo;-;14ª Rodada;Mineirão;1;1;2;MG;RJ;Empate
16:00;Domingo;16/07/2017;Atlético-GO;Atlético-MG;Atlético-MG;14ª Rodada;Olímpico;1;2;3;GO;MG;MG
19:00;Domingo;16/07/2017;Bahia;Avaí;-;14ª Rodada;Pituaçu;1;1;2;BH;SC;Empate
19:00;Domingo;16/07/2017;Coritiba;Fluminense;Fluminense;14ª Rodada;Couto Pereira;1;2;3;PR;RJ;RJ
20:00;Segunda-feira;17/07/2017;Botafogo;Sport;Botafogo;14ª Rodada;Engenhão;2;1;3;RJ;PE;RJ
19:30;Quarta-feira;19/07/2017;Santos;Chapecoense;Santos;15ª Rodada;Vila Belmiro;1;0;1;SP;SC;SP
19:30;Quarta-feira;19/07/2017;Vitória;Grêmio;Grêmio;15ª Rodada;Barradão;1;3;4;ES;RS;RS
21:00;Quarta-feira;19/07/2017;Avaí;Corinthians;-;15ª Rodada;Ressacada;0;0;0;SC;SP;Empate
21:00;Quarta-feira;19/07/2017;Ponte Preta;Coritiba;Ponte Preta;15ª Rodada;Moisés Lucarelli;4;0;4;SP;PR;SP
21:45;Quarta-feira;19/07/2017;Atlético-MG;Bahia;Bahia;15ª Rodada;Independência;0;2;2;MG;BH;BH
21:45;Quarta-feira;19/07/2017;São Paulo;Vasco;São Paulo;15ª Rodada;Morumbi;1;0;1;SP;RJ;SP
21:45;Quarta-feira;19/07/2017;Flamengo;Palmeiras;-;15ª Rodada;Luso Brasileiro;2;2;4;RJ;SP;Empate
19:30;Quinta-feira;20/07/2017;Fluminense;Cruzeiro;-;15ª Rodada;Edson Passos;1;1;2;RJ;MG;Empate
20:00;Quinta-feira;20/07/2017;Sport;Atlético-GO;Sport;15ª Rodada;Ilha do Retiro;4;0;4;PE;GO;PE
21:00;Quinta-feira;20/07/2017;Atlético-PR;Botafogo;-;15ª Rodada;Arena da Baixada;0;0;0;PR;RJ;Empate
16:00;Sábado;22/07/2017;Vitória;Chapecoense;Chapecoense;16ª Rodada;Barradão;1;2;3;ES;SC;SC
19:00;Sábado;22/07/2017;Flamengo;Coritiba;Flamengo;16ª Rodada;Luso Brasileiro;2;1;3;RJ;PR;RJ
11:00;Domingo;23/07/2017;Santos;Bahia;Santos;16ª Rodada;Pacaembu;3;0;3;SP;BH;SP
16:00;Domingo;23/07/2017;Avaí;Cruzeiro;Avaí;16ª Rodada;Ressacada;1;0;1;SC;MG;SC
16:00;Domingo;23/07/2017;Fluminense;Corinthians;Corinthians;16ª Rodada;Maracanã;0;1;1;RJ;SP;SP
16:00;Domingo;23/07/2017;Sport;Palmeiras;Palmeiras;16ª Rodada;Arena Pernambuco;0;2;2;PE;SP;SP
19:00;Domingo;23/07/2017;Atlético-MG;Vasco;Vasco;16ª Rodada;Independência;1;2;3;MG;RJ;RJ
19:00;Domingo;23/07/2017;Atlético-PR;Ponte Preta;Ponte Preta;16ª Rodada;Arena da Baixada;0;2;2;PR;SP;SP
19:00;Domingo;23/07/2017;Atlético-GO;Botafogo;-;16ª Rodada;Olímpico;1;1;2;GO;RJ;Empate
20:00;Segunda-feira;24/07/2017;São Paulo;Grêmio;-;16ª Rodada;Morumbi;1;1;2;SP;RS;Empate
16:00;Sábado;29/07/2017;Botafogo;São Paulo;São Paulo;17ª Rodada;Engenhão;3;4;7;RJ;SP;SP
19:00;Sábado;29/07/2017;Palmeiras;Avaí;Palmeiras;17ª Rodada;Palestra Ítalia;2;0;2;SP;SC;SP
11:00;Domingo;30/07/2017;Chapecoense;Atlético-GO;Atlético-GO;17ª Rodada;Arena Condá;1;2;3;SC;GO;GO
16:00;Domingo;30/07/2017;Bahia;Sport;Sport;17ª Rodada;Fonte Nova;1;3;4;BH;PE;PE
16:00;Domingo;30/07/2017;Coritiba;Atlético-MG;Atlético-MG;17ª Rodada;Couto Pereira;0;2;2;PR;MG;MG
16:00;Domingo;30/07/2017;Corinthians;Flamengo;-;17ª Rodada;Arena Corinthians;1;1;2;SP;RJ;Empate
19:00;Domingo;30/07/2017;Grêmio;Santos;-;17ª Rodada;Arena do Grêmio;1;1;2;RS;SP;Empate
19:00;Domingo;30/07/2017;Cruzeiro;Vitória;-;17ª Rodada;Mineirão;0;0;0;MG;ES;Empate
20:00;Segunda-feira;31/07/2017;Vasco;Atlético-PR;Atlético-PR;17ª Rodada;Raulino de Oliveira;0;1;1;RJ;PR;PR
20:00;Quarta-feira;09/08/2017;Ponte Preta;Fluminense;-;17ª Rodada;Moisés Lucarelli;0;0;0;SP;RJ;Empate
19:30;Quarta-feira;02/08/2017;Chapecoense;Bahia;-;18ª Rodada;Arena Condá;1;1;2;SC;BH;Empate
19:30;Quarta-feira;02/08/2017;Sport;Fluminense;-;18ª Rodada;Ilha do Retiro;2;2;4;PE;RJ;Empate
21:00;Quarta-feira;02/08/2017;Atlético-MG;Corinthians;Corinthians;18ª Rodada;Mineirão;0;2;2;MG;SP;SP
21:00;Quarta-feira;02/08/2017;Vitória;Ponte Preta;Vitória;18ª Rodada;Barradão;3;1;4;ES;SP;ES
21:45;Quarta-feira;02/08/2017;Santos;Flamengo;Santos;18ª Rodada;Pacaembu;3;2;5;SP;RJ;SP
21:45;Quarta-feira;02/08/2017;Botafogo;Palmeiras;Palmeiras;18ª Rodada;Engenhão;1;2;3;RJ;SP;SP
21:45;Quarta-feira;02/08/2017;Atlético-GO;Grêmio;Grêmio;18ª Rodada;Olímpico;0;1;1;GO;RS;RS
19:30;Quinta-feira;03/08/2017;São Paulo;Coritiba;Coritiba;18ª Rodada;Morumbi;1;2;3;SP;PR;PR
19:30;Quinta-feira;03/08/2017;Atlético-PR;Avaí;Atlético-PR;18ª Rodada;Arena da Baixada;5;0;5;PR;SC;PR
20:00;Quinta-feira;03/08/2017;Vasco;Cruzeiro;Cruzeiro;18ª Rodada;Raulino de Oliveira;0;3;3;RJ;MG;MG
19:00;Sábado;05/08/2017;Corinthians;Sport;Corinthians;19ª Rodada;Arena Corinthians;3;1;4;SP;PE;SP
19:00;Sábado;05/08/2017;Fluminense;Atlético-GO;Fluminense;19ª Rodada;Maracanã;3;1;4;RJ;GO;RJ
11:00;Domingo;06/08/2017;Flamengo;Vitória;Vitória;19ª Rodada;Luso Brasileiro;0;2;2;RJ;ES;ES
16:00;Domingo;06/08/2017;Coritiba;Chapecoense;Coritiba;19ª Rodada;Couto Pereira;2;0;2;PR;SC;PR
16:00;Domingo;06/08/2017;Cruzeiro;Botafogo;-;19ª Rodada;Mineirão;0;0;0;MG;RJ;Empate
16:00;Domingo;06/08/2017;Bahia;São Paulo;Bahia;19ª Rodada;Fonte Nova;2;1;3;BH;SP;BH
16:00;Domingo;06/08/2017;Palmeiras;Atlético-PR;Atlético-PR;19ª Rodada;Palestra Ítalia;0;1;1;SP;PR;PR
16:00;Domingo;06/08/2017;Grêmio;Atlético-MG;Grêmio;19ª Rodada;Arena do Grêmio;2;0;2;RS;MG;RS
19:00;Domingo;06/08/2017;Avaí;Santos;-;19ª Rodada;Ressacada;0;0;0;SC;SP;Empate
19:00;Domingo;06/08/2017;Ponte Preta;Vasco;-;19ª Rodada;Moisés Lucarelli;0;0;0;SP;RJ;Empate
16:00;Sábado;12/08/2017;Atlético-GO;Coritiba;Atlético-GO;20ª Rodada;Olímpico;1;0;1;GO;PR;GO
19:00;Sábado;12/08/2017;Vitória;Avaí;Avaí;20ª Rodada;Barradão;0;1;1;ES;SC;SC
11:00;Domingo;13/08/2017;São Paulo;Cruzeiro;São Paulo;20ª Rodada;Morumbi;3;2;5;SP;MG;SP
16:00;Domingo;13/08/2017;Vasco;Palmeiras;-;20ª Rodada;Raulino de Oliveira;1;1;2;RJ;SP;Empate
16:00;Domingo;13/08/2017;Atlético-MG;Flamengo;Atlético-MG;20ª Rodada;Independência;2;0;2;MG;RJ;MG
16:00;Domingo;13/08/2017;Sport;Ponte Preta;-;20ª Rodada;Ilha do Retiro;0;0;0;PE;SP;Empate
19:00;Domingo;13/08/2017;Atlético-PR;Bahia;Atlético-PR;20ª Rodada;Arena da Baixada;4;1;5;PR;BH;PR
19:00;Domingo;13/08/2017;Botafogo;Grêmio;Botafogo;20ª Rodada;Engenhão;1;0;1;RJ;RS;RJ
20:00;Segunda-feira;14/08/2017;Santos;Fluminense;-;20ª Rodada;Pacaembu;0;0;0;SP;RJ;Empate
19:30;Quarta-feira;23/08/2017;Chapecoense;Corinthians;Corinthians;20ª Rodada;Arena Condá;0;1;1;SC;SP;SP
16:00;Sábado;19/08/2017;Corinthians;Vitória;Vitória;21ª Rodada;Arena Corinthians;0;1;1;SP;ES;ES
19:00;Sábado;19/08/2017;Flamengo;Atlético-GO;Flamengo;21ª Rodada;Luso Brasileiro;2;0;2;RJ;GO;RJ
11:00;Domingo;20/08/2017;Grêmio;Atlético-PR;-;21ª Rodada;Arena do Grêmio;0;0;0;RS;PR;Empate
16:00;Domingo;20/08/2017;Bahia;Vasco;Bahia;21ª Rodada;Fonte Nova;3;0;3;BH;RJ;BH
16:00;Domingo;20/08/2017;Cruzeiro;Sport;Cruzeiro;21ª Rodada;Mineirão;2;0;2;MG;PE;MG
16:00;Domingo;20/08/2017;Ponte Preta;Botafogo;Ponte Preta;21ª Rodada;Moisés Lucarelli;2;1;3;SP;RJ;SP
16:00;Domingo;20/08/2017;Avaí;São Paulo;-;21ª Rodada;Ressacada;1;1;2;SC;SP;Empate
19:00;Domingo;20/08/2017;Palmeiras;Chapecoense;Chapecoense;21ª Rodada;Palestra Ítalia;0;2;2;SP;SC;SC
19:00;Domingo;20/08/2017;Coritiba;Santos;-;21ª Rodada;Couto Pereira;0;0;0;PR;SP;Empate
20:00;Segunda-feira;21/08/2017;Fluminense;Atlético-MG;Fluminense;21ª Rodada;Maracanã;2;1;3;RJ;MG;RJ
